doc	harness	blob	prior_blob	date	action	note
design/MEASURE-gate-queue-window-2026-09-11.md	ops/run-gates.ps1	ce455bcbda391ff253a9414c94b00a409b61ef34	27fda524f4ebf57f40fbab4d4b03c74c2b7dcfda	2026-09-23	reread	Still holds. The 2026-09-23 change (W4.1 of the push-derived-conflicts plan) only lists one more static detector, the re-read ledger audit, which reads one tracked file and a merge base in 1.1 to 1.3 s over three timed runs, process start included. No pool, slot, queue, reuse or per-gate key logic moved, so every arrival, admission and capacity total in this file still reads as measured.
design/MEASURE-gate-slot-admission-2026-09-11.md	ops/run-gates.ps1	ce455bcbda391ff253a9414c94b00a409b61ef34	27fda524f4ebf57f40fbab4d4b03c74c2b7dcfda	2026-09-23	reread	Still holds. The 2026-09-23 change (W4.1 of the push-derived-conflicts plan) only adds one static detector to the list, the re-read ledger audit, 1.1 to 1.3 s a push over three timed runs. Slot acquisition, the ticket queue and the wait window this document measured are untouched, so who wins a freed slot is unchanged.
design/MEASURE-gate-slot-admission-2026-09-11.md	ops/audit-conclusion-currency.ps1	9543df597f69d0c27a5abcbbc7d4eea99240db1a	b6019f129555afb3529cb83ebcaae126a0aa50b6	2026-09-23	reread	Every verdict stands as measured. The 2026-09-23 change (W4.1 of the push-derived-conflicts plan) lets that script qualify a document from a re-read ledger row at the harness's full current blob, adds a report-only pair-state listing, and names the moved commits in its UNQUALIFIED report. It is still named in this file as prose only, and no probe, analysis, slot or wait figure here came through it.
design/MEASURE-ratchet-plain-run-writes-2026-09-12.md	ops/audit-conclusion-currency.ps1	9543df597f69d0c27a5abcbbc7d4eea99240db1a	b6019f129555afb3529cb83ebcaae126a0aa50b6	2026-09-23	reread	Every figure still holds. The 2026-09-23 change (W4.1 of the push-derived-conflicts plan) adds the re-read ledger as a second way to qualify a pair and a report-only pair-state switch that writes nothing. No baseline write, record flag or rise branch changed: a plain run still writes nothing, and its three ratchet live-path cases pass in its 51-case self-test at that change.
design/MEASURE-gate-slot-admission-2026-09-11.md	ops/audit-conclusion-currency.ps1	e4e5d60f9d016250ea25ae2e5b348034c151e771	9543df597f69d0c27a5abcbbc7d4eea99240db1a	2026-09-23	reread	Every verdict stands as measured. The 2026-09-23 change (W4.2 of the push-derived-conflicts plan) only changes which document lines enrol a harness, so a re-read paragraph no longer does, and adds a report-only harness-source listing. This file keeps the same harness set: the two pairs that came only from its re-read lines are now explicit frozen harness lines above them. The script is still named here as prose only, and no probe, analysis, slot or wait figure came through it.
design/MEASURE-ratchet-plain-run-writes-2026-09-12.md	ops/audit-conclusion-currency.ps1	e4e5d60f9d016250ea25ae2e5b348034c151e771	9543df597f69d0c27a5abcbbc7d4eea99240db1a	2026-09-23	reread	Every figure still holds. The 2026-09-23 change (W4.2 of the push-derived-conflicts plan) only changes which document lines enrol a harness and adds a report-only harness-source listing. It touches no baseline write, record flag or rise branch, so a plain run still writes nothing, and its three ratchet live-path cases pass in its 58-case self-test at that change. This file names its instruments outside any re-read paragraph, so its harness set is unchanged.
design/MEASURE-push-convergence-2026-09-12.md	ops/probe-push-convergence.ps1	363b6669283bd851d1cb5ec6dd9173c1d946d0bc	571be8393ecc7861cbb0eb857a5abcfabbe390db	2026-09-23	reread	W0.3b of design/PLAN-push-derived-conflicts-2026-09-23.md changed only the -Cost and -History modes (attempts per change keyed on subjects_sha, a plain push's hook refusal counted as an attempt, B6 and B10 split quiet from contended, two new -History counts) and the self-test; no hunk touches Get-TcReflogLandings, Measure-TcLandingIntervals, Measure-TcPrepushLogs, Write-TcConvergenceReport or the no-switch dispatch, so every number in this document still reads as measured. Checked by the landing stage on 2026-09-23, not taken from the build: the no-switch report run from blob 571be839 and from blob 363b6669 over ONE frozen copy of the push ledger (10 files), the 298 retained pre-push logs and a 1,243-line reflog printed identical output at -Days 1 and at -Days 14 (22 lines each, 0 differing, compared ordinally). What the new -Cost lines print is a new measurement and revises nothing here.
design/EVAL-alert-retention-2026-09-09.md	grocery/capture-watchdog.ps1	c0aff393714ffdeb7db958ccd07b65c6721ba8ba	d65442e97128b309da0b5040c318f1c2f1367dd6	2026-09-23	reread	W1.1 of PLAN-bot-checkout-self-heal adds checks 7-9 (bot checkout floor, capture backlog, kill switch), a gate-inputs line and 13 self-test cases; check 5a4 still calls ops/member-cohorts.ps1 -AppendHistory then -CheckFresh with its body unchanged, so the pre-registration (producer, series ops/member-alert-history.jsonl, the >=1 cut and the 91-per-arm bar) holds as written
design/MEASURE-push-convergence-2026-09-12.md	lib/push-ledger.ps1	99d387543ca7a5aa87af8db986ba758d3ce940d5	09435de4715a4ef7ff5bac3fc2f0bcd3ea8acf4e	2026-09-23	reread	W0.1 and W0.1R of design/PLAN-push-derived-conflicts-2026-09-23.md added one optional -Fields dictionary to New-TcPushRowText and Write-TcPushRow, merged after the ten own fields, a collision guard, ConvertTo-Json -Depth 5, and built the row text before the ledger directory is made; Read-TcPushRows, Measure-TcPushRows, the percentile and UNKNOWN rules and the ledger path are unchanged, so every number here still reads as measured. Checked at landing on 2026-09-23: a row built without -Fields (the only shape hold-push-lock writes, and every row this document counted) is byte-identical from blob 09435de4 and from blob 99d38754 (ordinal compare), and the schema-2 extras are new fields a reader ignores, which the push-ledger self-test holds with an old-shape and a schema-2 row read side by side.
design/MEASURE-gate-queue-window-2026-09-11.md	ops/run-gates.ps1	fe1043bbc001f5fb33095755d06f092309f0fb95	ce455bcbda391ff253a9414c94b00a409b61ef34	2026-09-23	reread	The event-bus floor change only adds a blind=<n> name to the PowerShell static loop's exit-0 branch; slot acquisition, the queue window and dispatch are untouched, so the queue-window figures stand as last re-read
