"Slug","Item","Grams","Ratio","WouldBe","SourceUrl"
"american-goulash-pasta","Carrots","200","0.44","3.3 carrots","https://natashaskitchen.com/american-goulash-recipe/"
"beef-ragu-pasta","Carrots","200","0.44","3.3 carrots","https://inquiringchef.com/simple-beef-ragu-slow-cooker-instant-pot-stovetop/"
"ground-beef-fried-rice-bowls","Carrots","300","0.66","5 carrots","https://withthewoodruffs.com/ground-beef-fried-rice/"
"slow-cooker-chicken-curry-rice-bowls","Carrots","350","0.77","5.7 carrots","https://laurenfitfoodie.com/slow-cooker-chicken-curry-low-fat-healthy-and-easy/"
"curry-ground-turkey-bowls","Rice","700","1.54","3.75 cups dry","https://www.familyfoodonthetable.com/curry-ground-turkey-with-rice-and-peas/"
"ground-turkey-enchilada-skillet-bowls","Rice","750","1.65","4 cups dry","https://healthyfoodiegirl.com/ground-turkey-enchilada-skillet/"
"ground-turkey-stir-fry-bowls","Rice","900","1.98","4.75 cups dry","https://healthyfitnessmeals.com/ground-turkey-stir-fry/"
"korean-ground-beef-rice-bowls","Rice","861","1.9","4.75 cups dry","https://masonfit.com/healthy-korean-ground-beef/"
"korean-ground-turkey-bowls","Rice","900","1.98","4.75 cups dry","https://nutritiontofit.com/korean-ground-turkey/"
"mediterranean-ground-turkey-bowls","Rice","700","1.54","3.75 cups dry","https://www.budgetbytes.com/mediterranean-turkey-bowls/"
"slow-cooker-barbacoa-bowl","Rice","800","1.76","4.25 cups dry","https://downshiftology.com/recipes/barbacoa/"
"slow-cooker-brown-sugar-sesame-pork-bowls","Rice","750","1.65","4 cups dry","https://www.themagicalslowcooker.com/slow-cooker-brown-sugar-sesame-pork-loin/"
"slow-cooker-char-siu-pork-bowls","Rice","640","1.41","3.5 cups dry","https://andreasrecipes.com/slow-cooker-char-siu-pork-roast/"
"slow-cooker-chicken-adobo-rice-bowls","Rice","900","1.98","4.75 cups dry","https://hungryhobby.net/slow-cooker-adobo-chicken/"
"slow-cooker-chicken-chile-verde-bowls","Rice","900","1.98","4.75 cups dry","https://www.ambitiouskitchen.com/healthy-slow-cooker-chicken-chile-verde/"
"slow-cooker-chicken-gyro-bowls","Rice","880","1.94","4.75 cups dry","https://seasonandthyme.com/slow-cooker-greek-chicken-gyros/"
"slow-cooker-chicken-shawarma-bowls","Rice","880","1.94","4.75 cups dry","https://skinnyfitalicious.com/crockpot-chicken-shawarma/"
"slow-cooker-chicken-tacos-rice-bowls","Rice","900","1.98","4.75 cups dry","https://joyfoodsunshine.com/crockpot-chicken-tacos/"
"slow-cooker-chicken-tagine-bowls","Rice","800","1.76","4.25 cups dry","https://www.cookingclassy.com/slow-cooker-chicken-and-chick-pea-tagine/"
"slow-cooker-chicken-tikka-masala-rice-bowls","Rice","820","1.81","4.5 cups dry","https://ministryofcurry.com/slow-cooker-chicken-tikka-masala/"
"slow-cooker-chicken-tortilla-soup-bowls","Rice","820","1.81","4.5 cups dry","https://www.eatyourselfskinny.com/chicken-tortilla-soup/"
"slow-cooker-cilantro-lime-chicken-bowls","Rice","780","1.72","4.25 cups dry","https://realfoodwholelife.com/recipes/crockpot-cilantro-lime-chicken/"
"slow-cooker-creamy-chicken-mushroom-bowls","Rice","900","1.98","4.75 cups dry","https://skinnyms.com/slow-cooker-creamy-chicken-and-mushrooms/"
"slow-cooker-cuban-mojo-pork-bowls","Rice","640","1.41","3.5 cups dry","https://www.eatingonadime.com/crock-pot-cuban-mojo-pork-tenderloin/"
"slow-cooker-filipino-pork-adobo-bowls","Rice","900","1.98","4.75 cups dry","https://www.skinnytaste.com/slow-cooker-filipino-adobo-pulled-pork/"
"slow-cooker-french-onion-chicken-bowls","Rice","820","1.81","4.5 cups dry","https://ohsnapmacros.com/crockpot-french-onion-chicken/"
"slow-cooker-general-tso-chicken-bowls","Rice","900","1.98","4.75 cups dry","https://www.foodfaithfitness.com/slow-cooker-general-tsos-chicken/"
"slow-cooker-honey-garlic-pork-bowls","Rice","820","1.81","4.5 cups dry","https://www.themagicalslowcooker.com/honey-garlic-pork-loin/"
"slow-cooker-italian-beef-bowl","Rice","650","1.43","3.5 cups dry","https://tasteandsee.com/slow-cooker-italian-beef/"
"slow-cooker-kalua-pork-bowls","Rice","800","1.76","4.25 cups dry","https://downshiftology.com/recipes/slow-cooker-kalua-pork/"
"slow-cooker-king-ranch-chicken-bowls","Rice","850","1.87","4.5 cups dry","https://houseofyumm.com/slow-cooker-king-ranch-chicken-soup/"
"slow-cooker-korean-gochujang-pork-bowls","Rice","640","1.41","3.5 cups dry","https://www.theendlessmeal.com/crock-pot-korean-gochujang-pork/"
"slow-cooker-mongolian-chicken-bowls","Rice","800","1.76","4.25 cups dry","https://chefsavvy.com/slow-cooker-mongolian-chicken/"
"slow-cooker-pork-carnitas-bowl","Rice","800","1.76","4.25 cups dry","https://www.maryswholelife.com/slow-cooker-pork-carnitas/"
