ticket,verdict,why
E3B5EDA8C5,wrong-price,"Board 0.0438/bag = $2.19 per 50ct twin-lock. Verifier enumerated the quart-bag shelf and the only quart storage bag Aldi lists is the 40ct slider at $2.59 = 0.0648. Board number is not payable."
2DF21A11AF,wrong-price,"Board 0.1042/oz = $5.00 per 48oz. Verifier priced the whole cottage-cheese set: 48oz $5.79 = 0.1206, 24oz $3.19 = 0.1329, 16oz $2.59 = 0.1619. Nothing at this store reaches 0.1042."
6B90307BAD,ok,"Board 0.4824 = $13.99/29oz, which is exactly the live promo the verifier saw and declined to use (regular $14.49 = 0.4997). It is a real shelf price a shopper pays today on the correct cheapest-tier product. Counting the board as wrong for being MORE current would be perverse. Flagged as an everyday-vs-promo basis question, not a defect."
27C1EC1E18,wrong-size,"Commodity is explicitly Taco Seasoning (packet). Board holds an 8.5oz McCormick bulk canister at 0.9753/oz. Right product family, wrong pack basis, and dearer than the cheapest true packet (Our Family 1.25oz $0.99 = 0.7920)."
6493413440,wrong-product,"NOT-CHEAPEST. Board item California Sun Dry Julienne 3oz is genuine sun-dried tomato and its 1.3300/oz is confirmed correct ($3.99/3oz). But Alessi Julienne 7oz $5.29 = 0.7557 qualifies and is 43% cheaper. Fails the cheapest bar, not an identity failure."
B106317542,wrong-product,"NOT-CHEAPEST. Board holds Manwich Bold 16oz at 0.1056. Our Family sloppy joe sauce 15oz $1.39 = 0.0927 is cheaper and qualifies. Store private label beats Manwich on every size."
9E4EE82B63,wrong-price,"Same product both sides (That's Smart! Crushed Red Pepper 2oz). Board 0.2050/oz = $0.41 per jar, which matches NEITHER the $1.25 regular (0.6250) NOR the $1.00 3-for-3 shelf tag (0.5000). $1.25/3 = $0.4167 - the board looks like it published the multibuy divisor result as a unit price. Fabricated number, real bug behind it."
C75E652E97,wrong-price,"Board 5.3200/lb = $3.99 per 12oz bag. Verifier: that SKU's sale is $5.99 (7.99/lb) and its regular is $7.99 (10.65/lb); the cheapest regular shrimp at the store is 9.99/lb. Board is 47% under the cheapest sale price available."
58BBF9AD08,wrong-product,"NOT-CHEAPEST. Board's Lysol at 0.1538/floz is confirmed correct for the 24floz tier. But The Works 32floz $3.39 = 0.1059 is a genuine liquid toilet bowl cleaner and 31% cheaper."
140414F657,wrong-product,"NOT-CHEAPEST. Board's McCormick Pure Vanilla 8floz at 1.3100 is confirmed correct ($10.48/8). Rising Star Pure Vanilla Extract 8floz $8.98 = 1.1225 is also pure extract and cheaper."
1FEF6B7407,wrong-product,"NOT-CHEAPEST. Board's Great Value Original Syrup 36floz at 0.0867 is confirmed correct ($3.12/36). Country Kitchen Original Pancake Syrup 36floz $2.84 = 0.0789 is the same commodity and 9% cheaper."
EB74511E66,ok,"Board holds GV Fat Free Sweetened Condensed Milk 14oz at 0.1593, and the verifier independently observed that exact item at $2.23 = 0.1593 and confirmed it is the cheapest. The verifier chose full-fat on a personal recipe-behaviour call; fat-free sweetened condensed milk is still the commodity. Board is right."
4F11034F3E,wrong-size,"Board holds an online-only (3 pack) GV Bite Size 32oz bundle at 0.0834/oz. Verifier: no single 32oz bag exists at this store and $2.67/32oz contradicts the shelf party-size price of $2.67/18oz. Real shelf floor is 0.1430. Pack basis makes the per-unit wrong by 42%."
92A019B19C,wrong-product,"IDENTITY. Commodity is Asparagus priced per lb; the Hy-Vee cell in this same sample is fresh bulk asparagus, so the commodity is fresh produce. Walmart's cell holds Great Value Asparagus Cut Spears 14.5oz, a CANNED vegetable, priced at 2.8248/lb of can weight with drained weight unknown. Undercuts real fresh asparagus 2.2x."
5F4B6E79CC,wrong-size,"Commodity is explicitly Ranch Seasoning Mix (packet). Board holds the 8oz bulk canister at 0.4525/oz. Right product line, wrong pack basis; the packet form a shopper actually buys is $2.12/4oz = 0.5300."
1583949A8B,wrong-size,"Board holds GV Seasonal Paper Plates 10in 30 Count at 0.0348/plate. $3.48/0.0348 = 100 plates, but the product NAME says 30 Count. The board divided by a count the product name contradicts; on the name the true rate is 0.116/plate. Cheapest real pack is 0.0376."
48E8FFAE0E,wrong-product,"NOT-CHEAPEST. Board holds Nissin Cup Noodles 6-pack at 0.4950/cup. Maruchan 3oz 12-pack $3.87 = 0.3225/pack is the same commodity and 35% cheaper, a rate independently confirmed by the 24ct and 48ct listings."
AD60F99BF3,ok,"Board item Mexican Style Street Corn Chip Dippers and the verifier's Clancy's Corn Chips are both 9.25oz at $1.89 - an exact tie at 0.2043/oz, verifier confirmed both. Board names a cheapest qualifying product."
F53AF4332E,wrong-price,"Board holds Tomatoes Roma Per LB at 0.9500/lb. Verifier searched tomatoes / roma tomatoes / vine tomatoes and found NO loose or per-lb bulk tomato in this store's catalog; every fresh tomato is a fixed-weight pack, cheapest 1.9267/lb. Board price is half the cheapest real one and is the known Aldi per-item-estimate trap shape."
DF293B6EE7,wrong-product,"NOT-CHEAPEST. Board's Progresso Vegetable Classics at 0.1574 is plausible and in range. Kroger Vegetable Beef Condensed 10.5oz $1.25 = 0.1190 is the store's own label, qualifies, and is 24% cheaper."
B4C7861F05,wrong-price,"Board holds California Yellow or White Nectarines at 1.8800/lb. Kroger's API regular prices are $3.99/lb loose and $2.9950/lb for the cheapest bag. CAVEAT: 1.88/lb has the shape of a printed ad line, and the ad lane is not visible through the product API, so this may be a live flyer price rather than a wrong number. Recorded as a defect because a shopper following the board pays 3.99."
535132E556,wrong-product,"NOT-CHEAPEST. Board holds Builders Chocolatey PB Protein Bars 6ea at 2.1650/bar. Our Family Protein Chewy Bars 5ea $3.99 = 0.7980/bar qualifies and is 2.7x cheaper; even the next branded bar (Kind 6ea) is 0.8817."
